Name,Followers
ridwankamil,18.4M
beautifuldestinations,24.7M
angelinajolie,13.2M
corinnakopf,6.7M
angelinajolie,13.2M
asabopp,5.8M
naileadevora,5.2M
lizakoshy,20.1M
marimaria,20.1M
ronaldo,23M
gisele,19.4M
liverpoolfc,39.5M
nehasharmaofficial,14.6M
marcusrashford,12.8M
golfarahani,13.4M
fuckjerry,16.8M
nazriyafahadh,6.1M
kyrieirving,16.9M
xsqueezie,7.9M
actorsuriya,4.9M
easportsfifa,26.7M
nessabarrett,7M
trentarnold66,7.6M
madisonbaileybabe,6.7M
jackharlow,6.7M
victoriajustice,22.7M
amauryguichon,9M
phoebejtonkin,8.4M
vanessamorgan,9.5M
smriti_mandhana,6.2M
shreyaghoshal,24.4M
achrafhakimi,9.9M
aleoliveiracm,8.4M
xuminghao_o,4.9M
nita_shilimkar,11.3M
jeromepolin,6.9M
sound_of_coups,3.9M
aishwaryaraibachchan_arb,10.4M
emiliamernes,6M
geewonii,7.6M
markiplier,10.4M
jairmessiasbolsonaro,20.2M
loganpaul,23.3M
klaythompson,12.9M
malutrevejo,11.6M
virgilvandijk,12.3M
frenkiedejong,10.6M
karelyruiz,6.4M
ciara,32.3M
joshu_acoustic,4.2M
actorprabhas,8.6M
avani,18.9M
jensenackles,9.6M
jaybnow.hr,6.9M
jensenackles,9.6M
jaybnow.hr,6.9M
missasinfonia,5.4M
mattyperry4,7.9M
__youngbae__,13.4M
zoeisabellakravitz,8.5M
premierleague,57.9M
catherinemcbroom,7.4M
nehasharmaofficial,14.6M
ridwankamil,18.3M
kit.connor,4.3M
toni.kr8s,34.2M
memezar,23.4M
dew_jsu,6.1M
amadorat,8.2M
urstrulymahesh,8.7M
xuminghao_o,4.8M
theslumpgod,5.4M
tiffanyyoungofficial,12.3M
juventus,54M
iam_linyi,3.9M
angeliqueboyer,14.2M
pozevidalouca,7M
narins_beauty,9M
bhadbhabie,16.4M
otabek_muhammadalievich,20M
sushitrash,6.3M
djsnake,9.5M
kareenakapoorkhan,9.4M
dindahw,14.5M
chrismcg,10.6M
aslisona,23M
f1,19.8M
davidalaba,10.1M
haifawehbe,10.1M
zo,14.2M
felipeneto,16M
jaspritb1,9.8M
maudeapatow,4.9M
taylor_hill,19.9M
regejean,6.3M
anupamaparameswaran96,12.2M
vikkialchester,11M
simonettalein,11.5M
troyesivan,13.2M
alvxaro,9.7M
paulwalker,15M
amandacerny,24M
yamigautam,16M
candiceking,9.9M
snoopdogg,74.6M
thiago6,9.6M
toni.kr8s,34.3M
egorkreed,14.7M
amybethmcnulty,7.3M
charles_leclerc,8M
avengers,13.5M
dbook,5.4M
l7nnon,8.1M
faz3,14.4M
kentooyamazaki,5M
alishalehmann7,7.8M
yamigautam,16M
machinegunkelly,9.7M
davikah,16.9M
blythe,13.5M
kingryan,8.9M
sthefanematos,9.9M
_agentgirl_,18.6M
riyadmahrez26.7,9.1M
ler_chek,10.4M
arthuraguiar,13.9M
harshbeniwal,5.6M
youngdae0302,4.4M
sugaringcandy,2.5M
casemiro,15.9M
jojotodynho,22.5M
srinidhi_shetty,4.2M
amin.hayai,9M
dylanminnette,7.4M
djsnake,9.6M
aliandooo,16.7M
mclomaofficial,8.1M
ewsbdi,4.5M
pokimanelol,6.1M
emmaroberts,18.1M
lucyhale,24.5M
stebinben,10.6M
juki_lop,9.4M
alfinetei,21.7M
centralcee,3.7M
syifahadjureal,15.4M
d_degeaofficial,13.5M
elmarianaa,3.8M
calumhood,7M
coolio_daryl,5.9M
willyrex,8.7M
liltjay,7.4M
floydmayweather,28.4M
georgenotfound,3M
onwardwanna,5.6M
milad_khahhh,6.5M
angela_aguilar_,8.7M
kaliuchis,3.9M
joaoguilherme,16.1M
harshbeniwal,5.6M
salmahayek,21.5M
rezagolzar,12.2M
acunilicali,13.7M
lacikaysomers,12.2M
karna.val,7.3M
arsenal,22.2M
anas,5.7M
saipallavi.senthamarai,5.9M
nct_dream,10.2M
violets.tv,13.9M
tohi,12M
rodridepaul,4.8M
maneskinofficial,6.1M
wanda_nara,13.6M
perspolis,8.1M
grisha_eric,12.4M
miamalkova,11M
nba,69M
gima_ashi,14.6M
burcuozberk,9.3M
everyone_woo,2.9M
egupta,8.7M
jennifer.garner,13.3M
normani,7.3M
03_hu,4.2M
mrancelotti,8.4M
jorgelopez_as,9.6M
huddy,11.7M
kenzie,14.9M
f1,19.9M
staskaranikolaou,11.1M
saharghoreyshiofficialpage,11.6M
beberexha,10.8M
dqsalmaan,10.6M
